epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,1040.8,0.43992,1.17485,0.00384,0.91514,0.77062,0.85222,0.58691,0.88339,3.23231,0.01261,0.000941245,0.000941245,0.000941245
96,1051.48,0.43533,0.96292,0.00412,0.89615,0.79752,0.84472,0.5811,0.8876,3.13259,0.01274,0.000940014,0.000940014,0.000940014
97,1062.67,0.45518,1.06505,0.00465,0.82357,0.75169,0.78889,0.54335,0.96918,3.09814,0.014,0.000938772,0.000938772,0.000938772
98,1073.85,0.46595,1.061,0.00419,0.8645,0.71308,0.80207,0.54002,1.01572,3.30014,0.01474,0.000937517,0.000937517,0.000937517
99,1084.26,0.47297,0.98693,0.0043,0.89374,0.71782,0.81948,0.5389,1.08138,3.59836,0.01555,0.000936251,0.000936251,0.000936251
100,1095.04,0.46209,0.99791,0.00409,0.91868,0.67419,0.8158,0.53391,1.12287,3.95147,0.01574,0.000934973,0.000934973,0.000934973
101,1105.64,0.48657,1.37105,0.00414,0.88959,0.67084,0.80485,0.50688,1.15176,4.45186,0.01614,0.000933683,0.000933683,0.000933683
102,1116.38,0.49444,0.99472,0.0045,0.86188,0.7099,0.79505,0.50593,1.15851,4.16996,0.01679,0.000932381,0.000932381,0.000932381
103,1127.19,0.47269,1.00412,0.00411,0.90264,0.70538,0.8015,0.51698,1.07946,4.08481,0.01591,0.000931067,0.000931067,0.000931067
104,1137.88,0.52185,1.1827,0.00476,0.8412,0.74842,0.81403,0.51922,1.05469,3.77567,0.01495,0.000929742,0.000929742,0.000929742
105,1148.5,0.4259,0.91496,0.00355,0.83377,0.74608,0.84084,0.54613,1.025,3.59406,0.01408,0.000928405,0.000928405,0.000928405
106,1159.24,0.50439,1.08198,0.00427,0.87648,0.76231,0.85157,0.58864,0.92198,3.78849,0.0125,0.000927057,0.000927057,0.000927057
107,1170.11,0.46512,1.15324,0.0038,0.89551,0.71267,0.84209,0.59588,0.89062,3.74788,0.01243,0.000925697,0.000925697,0.000925697
108,1181.52,0.51823,1.13617,0.00462,0.90826,0.77439,0.84512,0.61377,0.85603,3.4261,0.01179,0.000924325,0.000924325,0.000924325
109,1192.65,0.47465,1.08477,0.00444,0.91955,0.74894,0.84317,0.61072,0.85599,3.54011,0.01176,0.000922942,0.000922942,0.000922942
110,1204.34,0.50552,1.15688,0.00485,0.92449,0.75623,0.83731,0.58083,0.93253,3.32137,0.01299,0.000921548,0.000921548,0.000921548
111,1215.82,0.50227,0.9651,0.00449,0.96578,0.76095,0.84028,0.57287,0.97508,3.31091,0.01341,0.000920142,0.000920142,0.000920142
112,1226.87,0.51473,1.21037,0.00512,0.9484,0.78344,0.84392,0.59714,0.88382,3.148,0.01234,0.000918725,0.000918725,0.000918725
113,1238,0.45076,1.0781,0.00386,0.87723,0.78686,0.83263,0.56617,0.94733,3.65273,0.01344,0.000917296,0.000917296,0.000917296
114,1249,0.45935,1.12498,0.00387,0.82109,0.70846,0.77484,0.4833,1.02624,4.18646,0.01485,0.000915856,0.000915856,0.000915856
115,1260.41,0.41068,0.92779,0.00362,0.80642,0.68431,0.78543,0.50753,0.97135,4.36232,0.01344,0.000914405,0.000914405,0.000914405
116,1271.59,0.45212,0.96271,0.004,0.90436,0.72855,0.83099,0.51908,1.04892,3.6892,0.01438,0.000912942,0.000912942,0.000912942
117,1282.7,0.44164,0.89629,0.00425,0.94303,0.75775,0.84299,0.5309,1.05457,3.4713,0.01466,0.000911469,0.000911469,0.000911469
118,1293.49,0.46913,1.06266,0.00427,0.88497,0.77432,0.8338,0.53157,1.03445,3.73342,0.01464,0.000909984,0.000909984,0.000909984
119,1304.6,0.46189,1.09028,0.00438,0.94307,0.7671,0.83464,0.52146,1.0887,3.72383,0.01576,0.000908488,0.000908488,0.000908488
120,1316.36,0.48939,1.06271,0.00463,0.93738,0.77704,0.83988,0.51921,1.10144,3.47519,0.01636,0.000906981,0.000906981,0.000906981
121,1327.15,0.38506,0.93039,0.00345,0.94396,0.78937,0.82822,0.53542,0.99592,3.45883,0.01368,0.000905463,0.000905463,0.000905463
122,1338.57,0.44975,1.0146,0.00381,0.97986,0.75192,0.82221,0.55397,0.94794,3.55247,0.01297,0.000903934,0.000903934,0.000903934
123,1348.68,0.37328,0.88722,0.00348,0.91492,0.74844,0.79864,0.57666,0.90853,3.4725,0.01318,0.000902395,0.000902395,0.000902395
124,1358.73,0.39102,0.84944,0.00395,0.91206,0.73858,0.79713,0.58006,0.89087,3.51336,0.01312,0.000900844,0.000900844,0.000900844
125,1368.79,0.34834,0.7235,0.00313,0.90571,0.76084,0.81556,0.57264,0.90565,3.40394,0.0132,0.000899282,0.000899282,0.000899282
126,1380.6,0.40297,0.92347,0.00357,0.94072,0.76153,0.83603,0.59187,0.914,3.23466,0.01326,0.00089771,0.00089771,0.00089771
127,1392.19,0.36179,0.81656,0.00341,0.92632,0.7888,0.84172,0.62049,0.87857,2.99374,0.01256,0.000896127,0.000896127,0.000896127
128,1403.94,0.39623,0.90892,0.00354,0.86037,0.78611,0.82327,0.60757,0.85793,3.4391,0.01172,0.000894533,0.000894533,0.000894533
129,1415.09,0.39918,1.01513,0.00384,0.90631,0.77786,0.8342,0.61251,0.85549,3.17946,0.01174,0.000892928,0.000892928,0.000892928
130,1426.61,0.442,1.12975,0.00403,0.8497,0.79807,0.84347,0.6191,0.83398,3.29047,0.0113,0.000891313,0.000891313,0.000891313
131,1437.46,0.37552,0.86187,0.00332,0.87103,0.79719,0.84228,0.62745,0.80648,3.0927,0.01084,0.000889687,0.000889687,0.000889687
132,1448.96,0.43479,1.04676,0.00422,0.94509,0.80927,0.85107,0.61825,0.87217,2.76944,0.01265,0.000888051,0.000888051,0.000888051
133,1460.87,0.4163,1.02637,0.00358,0.95765,0.79069,0.85603,0.59977,0.92916,3.0525,0.01361,0.000886404,0.000886404,0.000886404
134,1472.48,0.36841,0.89809,0.00393,0.92889,0.77874,0.85389,0.59947,0.91723,3.18041,0.01368,0.000884747,0.000884747,0.000884747
135,1484.4,0.42365,0.99945,0.00377,0.90984,0.77238,0.84972,0.59109,0.93337,2.84692,0.01359,0.000883079,0.000883079,0.000883079
136,1496.38,0.40035,0.9408,0.00384,0.91814,0.74034,0.84455,0.58715,0.92744,2.93206,0.013,0.000881401,0.000881401,0.000881401
137,1508.15,0.38148,0.76956,0.00368,0.8705,0.79303,0.85189,0.64088,0.80091,2.66086,0.01053,0.000879713,0.000879713,0.000879713
138,1519.4,0.37835,0.8983,0.00318,0.88627,0.79268,0.84743,0.61162,0.83331,2.73789,0.01087,0.000878014,0.000878014,0.000878014
139,1530.48,0.40183,0.91675,0.0036,0.85723,0.71778,0.80747,0.58238,0.845,3.27185,0.01087,0.000876305,0.000876305,0.000876305
140,1541.18,0.3804,0.96241,0.00365,0.86925,0.75537,0.82821,0.61311,0.79905,3.00488,0.01014,0.000874586,0.000874586,0.000874586
141,1551.79,0.37044,0.81592,0.0034,0.91634,0.79845,0.85627,0.60609,0.90047,2.78057,0.01133,0.000872857,0.000872857,0.000872857
142,1562.6,0.40047,1.02675,0.00375,0.89027,0.81655,0.85481,0.59843,0.91729,3.07361,0.01218,0.000871117,0.000871117,0.000871117
143,1573.56,0.47843,1.26357,0.00461,0.94804,0.7811,0.83995,0.6092,0.87911,2.98681,0.01243,0.000869368,0.000869368,0.000869368
144,1584.55,0.43969,0.96345,0.00391,0.94371,0.77545,0.837,0.57959,0.96611,3.11975,0.01377,0.000867609,0.000867609,0.000867609
145,1595.58,0.40296,0.93356,0.00364,0.94972,0.7533,0.83597,0.53551,1.11014,3.21286,0.01565,0.000865839,0.000865839,0.000865839
146,1606.44,0.38582,0.95383,0.00348,0.81834,0.79091,0.82519,0.55289,1.02596,3.24911,0.0142,0.00086406,0.00086406,0.00086406
147,1617.56,0.43396,0.98845,0.00374,0.87301,0.77762,0.83273,0.55004,1.07658,3.27173,0.01497,0.000862271,0.000862271,0.000862271
